image_id,sample_id,image_number,cell_label,centroid_row,centroid_column,radial_bin,radius_start,radius_end,section_size_pixels,aggregate_pixels,aggregate_present,aggregate_fraction,aggregate_share,intensity_sum,intensity_mean,intensity_share,cumulative_normalized_intensity
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,0,0.0,0.1,2,2,True,1.0,0.0024937655860349127,2446.0,1223.0,0.0017827611515500038,0.0017827611515500038
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,1,0.1,0.2,7,7,True,1.0,0.008728179551122194,9261.0,1323.0,0.0067498573280885465,0.00853261847963855
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,2,0.2,0.3,26,26,True,1.0,0.032418952618453865,37674.0,1449.0,0.027458603280251365,0.03599122175988992
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,3,0.3,0.4,70,68,True,0.9714285714285714,0.08478802992518704,90300.0,1327.9411764705883,0.0658149353985958,0.10180615715848572
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,4,0.4,0.5,101,95,True,0.9405940594059405,0.11845386533665836,136230.0,1434.0,0.0992909042010045,0.20109706135949024
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,5,0.5,0.6,132,124,True,0.9393939393939394,0.1546134663341646,213899.0,1724.991935483871,0.15589976596704588,0.35699682732653615
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,6,0.6,0.7,161,144,True,0.8944099378881988,0.17955112219451372,233282.0,1620.013888888889,0.17002701837934914,0.5270238457058853
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,7,0.7,0.8,196,140,True,0.7142857142857143,0.1745635910224439,255817.0,1827.2642857142857,0.18645159832627445,0.7134754440321598
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,8,0.8,0.9,237,106,True,0.4472573839662447,0.13216957605985039,187487.0,1768.745283018868,0.13664944399863269,0.8501248880307924
E3_088plate1.tif,E3,3,12,1704.642857142857,1816.1904761904761,9,0.9,1.0,332,90,True,0.2710843373493976,0.11221945137157108,205633.0,2284.811111111111,0.14987511196920764,1.0
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,0,0.0,0.1,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,1,0.1,0.2,14,0,False,0.0,0.0,0.0,0.0,0.0,0.0
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,2,0.2,0.3,34,1,True,0.029411764705882353,0.0047169811320754715,944.0,944.0,0.0022495043464999236,0.0022495043464999236
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,3,0.3,0.4,70,3,True,0.04285714285714286,0.014150943396226415,2517.0,839.0,0.005997883940826598,0.008247388287326522
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,4,0.4,0.5,112,4,True,0.03571428571428571,0.018867924528301886,3565.0,891.25,0.008495215037364648,0.01674260332469117
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,5,0.5,0.6,183,8,True,0.04371584699453552,0.03773584905660377,6933.0,866.625,0.016520989019368614,0.03326359234405979
E3_088plate1.tif,E3,3,13,1818.0946196660482,1477.721706864564,6,0.6,0.7,267,0,False,0.0,0.0,0.0,0.0,0.0,0.03326359234405979
